date,headline_link,headline_title,link,page,scraped_at,title
"Selasa, 03 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/sudah-move-on-dari-salshadilla-juwita-lutfi-agizal-kenalkan-pacar-settingan-barunya-ebff4d.html,10.0,2020-11-22 21:41:35.231494,"Sudah Move On dari Salshadilla Juwita, Lutfi Agizal Kenalkan Pacar 'Settingan' Barunya"
"Selasa, 03 November 2020",,,https://www.kapanlagi.com/foto/berita-foto/bollywood/10-foto-ruchikaa-kapoor-pacar-baru-shaheer-sheikh-yang-cantik-dan-sukses-abis.html,10.0,2020-11-22 21:41:35.320943,10 FOTO Ruchikaa Kapoor Pacar Baru Shaheer Sheikh yang Cantik dan Sukses Abis!
"Selasa, 03 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/sederet-penonton-bayaran-alay-ini-sekarang-udah-tenar-dari-asisten-raffi-ahmad-asisten-nikita-mirzani-6fa213.html,10.0,2020-11-22 21:41:35.405430,"Sederet Penonton Bayaran Alay Ini Sekarang Udah Tenar, Dari Asisten Raffi Ahmad - Asisten Nikita Mirzani"
"Selasa, 03 November 2020",,,https://www.kapanlagi.com/showbiz/hollywood/brian-austin-green-posting-foto-anak-bontot-megan-fox-ngamuk-di-kolom-komentar-aaa770.html,10.0,2020-11-22 21:41:35.492438,"Brian Austin Green Posting Foto Anak Bontot, Megan Fox Ngamuk di Kolom Komentar"
"Selasa, 03 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/terungkap-honor-penonton-bayaran-yang-kerap-dicap-alay-makin-cantik-ternyata-makin-mahal-8babc9.html,10.0,2020-11-22 21:41:35.581322,"Terungkap Honor Penonton Bayaran yang Kerap Dicap Alay, Makin Cantik Ternyata Makin Mahal!"
"Selasa, 03 November 2020",,,https://www.kapanlagi.com/foto/berita-foto/indonesia/10-potret-mewah-honeymoon-nikita-willy-dan-indra-priawan-di-bali-sewa-villa-di-dekat-pantai---harga-rp-40-juta-semalam.html,10.0,2020-11-22 21:41:35.668861,"10 Potret Mewah Honeymoon Nikita Willy dan Indra Priawan di Bali, Sewa Villa di Dekat Pantai - Harga Rp 40 Juta Semalam"
"Selasa, 03 November 2020",,,https://www.kapanlagi.com/showbiz/bollywood/kareena-kapoor-pamer-babybump-centil-di-makeup-bareng-karisma-kapoor-237192.html,10.0,2020-11-22 21:41:35.757639,"Kareena Kapoor Pamer Babybump, Centil Di-Makeup Bareng Karisma Kapoor"
"Selasa, 03 November 2020",,,https://www.kapanlagi.com/foto/berita-foto/indonesia/8-potret-echi-unyu-baby-sitter-kiano-masih-berusia-19-tahun---tak-kalah-cantik-dengan-paula-verhoeven.html,10.0,2020-11-22 21:41:35.860254,"8 Potret Echi Unyu Baby Sitter Kiano, Masih Berusia 19 Tahun - Tak Kalah Cantik dengan Paula Verhoeven"
"Selasa, 03 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/matcont-anya-geraldine-posting-foto-pakai-bikini-netizen-sayang-pakai-baju-yang-bener-nanti-masuk-angin-a501d1.html,10.0,2020-11-22 21:41:35.952071,"Anya Geraldine Posting Foto Pakai Bikini, Netizen: Sayang Pakai Baju yang Bener, Nanti Masuk Angin"
"Selasa, 03 November 2020",,,https://www.kapanlagi.com/foto/berita-foto/indonesia/diam-diam-resmi-menikah-intip-8-potret-manis-sherina-munaf-dan-baskara-mahendra.html,11.0,2020-11-22 21:41:39.953309,"Diam-diam Resmi Menikah, Intip 8 Potret Manis Sherina Munaf dan Baskara Mahendra"
