link,rank,scraped_at,timestamp,title,type
https://www.tribunnews.com/seleb/2020/11/22/paramitha-rusady-ungkap-perasaannya-usai-dilantik-jadi-orang-nomor-2-di-parfi,1,2020-11-22 20:39:38.903710,"Minggu, 22 November 2020 08:43 WIB",Paramitha Rusady Ungkap Perasaannya Usai Dilantik Jadi Orang Nomor 2 di PARFI,12h
https://www.tribunnews.com/nasional/2020/11/22/pernyataan-kodam-jaya-ihwal-personel-tni-yang-datangi-kediaman-habib-rizieq-tadi-malam,2,2020-11-22 20:39:38.978900,"Minggu, 22 November 2020 10:42 WIB",Pernyataan Kodam Jaya Ihwal Personel TNI yang Datangi Kediaman Habib Rizieq Tadi Malam,12h
https://www.tribunnews.com/metropolitan/2020/11/22/polisi-tunggu-itikad-rizieq-shihab-lakukan-swab-test-covid-19-hingga-selasa,3,2020-11-22 20:39:39.048309,"Minggu, 22 November 2020 13:57 WIB",Polisi Tunggu Itikad Rizieq Shihab Lakukan Swab Test Covid-19 hingga Selasa,12h
https://www.tribunnews.com/regional/2020/11/22/bidan-muda-tancap-gas-kabur-dari-kawanan-begal-sempat-didorong-hingga-hampir-jatuh,4,2020-11-22 20:39:39.117599,"Minggu, 22 November 2020 09:45 WIB","Bidan Muda Tancap Gas Kabur dari Kawanan Begal, Sempat Didorong hingga Hampir Jatuh",12h
https://www.tribunnews.com/kilas-kementerian/2020/11/22/pilih-salah-satu-calon-tunggal-atau-kotak-kosong,5,2020-11-22 20:39:39.186489,"Minggu, 22 November 2020 10:55 WIB","Pilih Salah Satu, Calon Tunggal atau Kotak Kosong?",12h
https://www.tribunnews.com/nasional/2020/11/22/soal-tni-copot-baliho-rizieq-shihab-pengamat-negara-tidak-boleh-kalah-dari-siapapun,6,2020-11-22 20:39:39.256716,"Minggu, 22 November 2020 15:55 WIB","Soal TNI Copot Baliho Rizieq Shihab, Pengamat: Negara Tidak Boleh Kalah dari Siapapun",12h
https://www.tribunnews.com/nasional/2020/11/22/login-infogtkkemdikbudgoid-untuk-cek-penerima-bsu-kemendikbud-ini-syarat-dan-cara-pencairannya,7,2020-11-22 20:39:39.323086,"Minggu, 22 November 2020 08:13 WIB","LOGIN info.gtk.kemdikbud.go.id untuk Cek Penerima BSU Kemendikbud, Ini Syarat dan Cara Pencairannya",12h
https://www.tribunnews.com/seleb/2020/11/22/beredar-foto-arya-saloka-dan-amanda-manopo-pelukan-billy-syahputra-ngamuk-alig-ya-netizen,8,2020-11-22 20:39:39.388138,"Minggu, 22 November 2020 11:38 WIB","Beredar Foto Arya Saloka Dan Amanda Manopo Pelukan, Billy Syahputra Ngamuk: Alig Ya Netizen!",12h
https://www.tribunnews.com/regional/2020/11/22/malam-malam-janda-sering-bawa-pemuda-ke-rumah-saat-digerebek-tak-pakai-baju-lengkap,9,2020-11-22 20:39:39.454470,"Minggu, 22 November 2020 08:14 WIB","Malam-malam Janda Sering Bawa Pemuda ke Rumah, saat Digerebek Tak Pakai Baju Lengkap",12h
https://www.tribunnews.com/seleb/2020/11/22/habib-usman-tidak-dianggap-menantu-oleh-ibunda-kartika-putri-kaget-saat-dengar-alasannya,10,2020-11-22 20:39:39.526685,"Minggu, 22 November 2020 12:34 WIB","Habib Usman Tidak Dianggap Menantu oleh Ibunda Kartika Putri, Kaget saat Dengar Alasannya",12h
https://www.tribunnews.com/seleb/2020/11/22/paramitha-rusady-ungkap-perasaannya-usai-dilantik-jadi-orang-nomor-2-di-parfi,1,2020-11-22 20:39:43.311722,"Minggu, 22 November 2020 08:43 WIB",Paramitha Rusady Ungkap Perasaannya Usai Dilantik Jadi Orang Nomor 2 di PARFI,1d
https://www.tribunnews.com/internasional/2020/11/22/trump-belum-lengser-sebagai-presiden-jaksa-sudah-umumkan-selidiki-trump-ivanka-trump-berang,2,2020-11-22 20:39:43.373440,"Minggu, 22 November 2020 07:01 WIB","Trump Belum Lengser sebagai Presiden, Jaksa Sudah Umumkan Selidiki Trump: Ivanka Trump Berang",1d
