category,link,page,summary,timestamp,title,type
PERISTIWA,https://www.liputan6.com/news/read/4414729/ketua-satgas-covid-19-tangani-bencana-tidak-ada-perlakuan-diskriminasi,3.0,"Ketua Satgas Penanganan Covid-19 Doni Monardo menekankan, dalam menangani bencana, negara selalu memberikan perlakuan yang sama.",2020-11-22T12:31:24+07:00,"Ketua Satgas Covid-19: Tangani Bencana, Tidak Ada Perlakuan Diskriminasi",hari-ini
PERISTIWA,https://www.liputan6.com/news/read/4414508/antisipasi-longsor-susulan-puluhan-warga-cianjur-selatan-diungsikan,3.0,"Ia menjelaskan, sebagian besar warga yang mengungsi rumahnya tergenang air bercampur lumpur akibat longsor yang terjadi.",2020-11-21T23:28:51+07:00,"Antisipasi Longsor Susulan, Puluhan Warga Cianjur Selatan Diungsikan",hari-ini
PERISTIWA,https://www.liputan6.com/news/read/4414655/561-wna-positif-covid-19-di-indonesia-12-meninggal-per-22-november,3.0,"Dari 561 WNA yang dinyatakan positif Covid-19, 392 di antaranya sudah berhasil sembuh. Ada peningkatan 52 pasien sembuh dari data akhir Oktober lalu yang masih340 orang.",2020-11-22T10:14:00+07:00,"561 WNA Positif Covid-19 di Indonesia, 12 Meninggal per 22 November",hari-ini
SELEBRITIS,https://www.liputan6.com/showbiz/read/4414146/penyanyi-pria-ini-bikin-gisel-tenang,3.0,"Gisel tak menyangka, teman curhatnya hadir di hari ulang tahunnya.",2020-11-22T08:00:05+07:00,Penyanyi Pria Ini Bikin Gisel Tenang,hari-ini
SHOWBIZ,https://www.liputan6.com/showbiz/read/4414852/live-streaming-indosiar-ftv-suara-hati-istri-premier-apakah-kesuksesan-seorang-suami-diukur-dari-banyaknya-istri-minggu-22-november-2020,3.0,Indosiar tayangkan FTV Suara Hati Istri Premier mulai pukul 18.00 WIB.,2020-11-22T17:20:21+07:00,Live Streaming Indosiar FTV Suara Hati Istri Premier: Apakah Kesuksesan Seorang Suami Diuk...,hari-ini
SHOWBIZ,https://www.liputan6.com/showbiz/read/4414696/kiky-saputri-dicium-ariel-noah-dapat-izin-dari-luna-maya,3.0,Kiky Saputri dapet restu sebelum mencium Ariel NOAH.,2020-11-22T14:00:00+07:00,"Kiky Saputri Dicium Ariel NOAH, Dapat Izin dari Luna Maya",hari-ini
INTERNASIONAL,https://www.liputan6.com/global/read/4414713/xi-jinping-china-siap-tingkatkan-kerja-sama-vaksin-mitigasi-covid-19-dengan-dunia,3.0,Presiden China Xi Jinping telah menyatak kesiapannya untuk meningkatkan kerja sama.,2020-11-22T14:01:57+07:00,"Xi Jinping: China Siap Tingkatkan Kerja Sama Vaksin, Mitigasi COVID-19 dengan Dunia",hari-ini
EKONOMI,https://www.liputan6.com/bisnis/read/4414714/17-kabupaten-dan-kota-naik-daftar-lengkap-umk-2021-di-jawa-barat,3.0,Ada 17 kabupaten dan kota di Jawa Barat yang memutuskan untuk menaikkan UMK 2021 didasarkan kepada inflasi dan laju pertumbuhan ekonomi.,2020-11-22T13:00:00+07:00,"17 Kabupaten dan Kota Naik, Daftar Lengkap UMK 2021 di Jawa Barat",hari-ini
SELEBRITIS,https://www.liputan6.com/showbiz/read/4414514/dikasih-susu-formula-anak-vanessa-angel-malah-muntah,3.0,Anak Vanessa Angel hanya bisa minum ASI.,2020-11-22T12:00:15+07:00,"Dikasih Susu Formula, Anak Vanessa Angel Malah Muntah",hari-ini
LIGA INGGRIS,https://www.liputan6.com/bola/read/4414591/hasil-liga-inggris-tottenham-bekuk-man-city-mu-jinakkan-west-brom,3.0,Tottenham dan Manchester United (MU) memetik kemenangan di Liga Inggris pekan ini,2020-11-22T05:34:29+07:00,"Hasil Liga Inggris : Tottenham Bekuk Man City, MU Jinakkan West Brom",hari-ini
LIGA INGGRIS,https://www.liputan6.com/bola/read/4414599/klasemen-liga-inggris-tottenham-ke-puncak-mu-masih-di-papan-tengah,3.0,"Tottenham Hotspur memuncaki klasemen sementara Liga Inggris. Sementara, MU tertahan di papan tengah.",2020-11-22T07:00:00+07:00,"Klasemen Liga Inggris : Tottenham ke Puncak, MU Masih di Papan Tengah",hari-ini
CITIZEN6,https://www.liputan6.com/citizen6/read/4414315/viral-online-shop-jual-hijab-syari-untuk-kucing-warganet-kucingnya-hijrah,4.0,Sebuah toko online tawarkan baju kucing karakter ukhti ini viral.,2020-11-22T08:00:00+07:00,"Viral Online Shop Jual Hijab Syari untuk Kucing, Warganet: Kucingnya Hijrah",hari-ini
LIFESTYLE,https://www.liputan6.com/lifestyle/read/4414555/jurus-hindari-perceraian-yang-rawan-terjadi-selama-pandemi,4.0,"Adu argumen karena tidak saling mendengarkan kebutuhan satu sama lain, bisa berakibat fatal hingga perceraian di masa pandemi ini.",2020-11-22T07:00:47+07:00,Jurus Hindari Perceraian yang Rawan Terjadi Selama Pandemi,hari-ini
CULINARY,https://www.liputan6.com/lifestyle/read/4414452/restoran-dan-kafe-ikea-indonesia-dapat-sertifikasi-halal-mui-setelah-6-tahun-beroperasi,4.0,"Dengan sertifikasi halal MUI, seluruh menu yang disajikan di restoran dan kafe IKEA di Indonesia berlabel halal.",2020-11-22T12:30:10+07:00,Restoran dan Kafe IKEA Indonesia Dapat Sertifikasi Halal MUI Setelah 6 Tahun Beroperasi,hari-ini
PERISTIWA,https://www.liputan6.com/news/read/4414481/penertiban-baliho-rizieq-shihab-oleh-tni-kompolnas-akan-minta-klarifikasi-polri,4.0,"Komisi Kepolisian Nasional (Kompolnas) berencana meminta klarifikasi kepada Polri terkait penertiban baliho oleh TNI, padahal hal itu merupakan tugas dari kepolisian dan Satpol PP.",2020-11-21T20:36:24+07:00,"Penertiban Baliho Rizieq Shihab oleh TNI, Kompolnas Akan Minta Klarifikasi Polri",hari-ini
TECH NEWS,https://www.liputan6.com/tekno/read/4414310/kisah-sistem-operasi-windows-yang-kini-berusia-35-tahun,4.0,"Sistem operasi Windows pada 2020 ternyata sudah menginjak usia 35 tahun, seperti apa kisahnya?",2020-11-22T08:00:41+07:00,Kisah Sistem Operasi Windows yang Kini Berusia 35 Tahun,hari-ini
OTO NEWS,https://www.liputan6.com/otomotif/read/4414007/kalah-pamor-yamaha-r6-tidak-akan-dijual-bebas,4.0,"Yamaha dikabarkan akan menyuntik mati salah satu moge andalannya, yaitu Yamaha R6. Rencana ini akan terlaksana pada tahun depan. Selain terbentur masalah emisi Euro5, motor ini juga kalah pamor dengan moge 1.000cc.",2020-11-22T08:00:59+07:00,"Kalah Pamor, Yamaha R6 Tidak Akan Dijual Bebas",hari-ini
TRAVEL,https://www.liputan6.com/lifestyle/read/4414531/cerita-akhir-pekan-penegakan-disiplin-protokol-kesehatan-dalam-pengelolaan-wisata-outdoor,4.0,"Peran serta masyarakat dan media sangat diharapkan dalam penegakan protokol kesehatan, termasuk di tempat wisata outdoor.",2020-11-22T08:30:37+07:00,Cerita Akhir Pekan: Penegakan Disiplin Protokol Kesehatan dalam Pengelolaan Wisata Outdoor,hari-ini
PERISTIWA,https://www.liputan6.com/news/read/4414526/satgas-sebut-petugas-kesulitan-melacak-penularan-covid-19-massa-rizieq-shihab,4.0,"Doni berharap mendapatkan dukungan penuh dari tokoh di setiap daerah, termasuk para Ketua RT dan Ketua RW demi memudahkan upaya pelacakan penularan Covid-19.",2020-11-21T21:48:31+07:00,Satgas Sebut Petugas Kesulitan Melacak Penularan Covid-19 Massa Rizieq Shihab,hari-ini
PERISTIWA,https://www.liputan6.com/news/read/4414493/ancol-punya-kado-spesial-untuk-guru-apa-itu,4.0,Ada 2.511 tiket gratis untuk guru yang terpilih berdasarkan usulan dari para siswa atau mahasiswa di tempat guru tersebut mengajar.,2020-11-21T22:24:09+07:00,"Ancol Punya Kado Spesial untuk Guru, Apa Itu?",hari-ini
BOLA,https://www.liputan6.com/bola/read/4414617/top-3-berita-bola-kegalauan-spiritual-alasan-ricky-yacobi-dicoret-dari-timnas-indonesia,4.0,Berita tentang Ricky Yacobi dengan kegalauan spiritual dan dicoret dari Timnas Indonesia menjadi yang terpopuer di kanal Bola Liputan6.com dalam 24 jam terakhir.,2020-11-22T08:30:08+07:00,Top 3 Berita Bola: Kegalauan Spiritual Alasan Ricky Yacobi Dicoret dari Timnas Indonesia,hari-ini
